search_term,search_country,site,title,company,location,date_posted,min_amount,max_amount,currency,job_url,description
diseño editorial remoto,Mexico,indeed,Content Social Media Strategist,Kostik,"Benito Juárez, DIF, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=b17af0946be23e7a,"**Kostik busca Content Social Media Strategist en Benito Juárez, Ciudad de México**
-----------------------------------------------------------------------------------


**Descripción de la vacante**

  

Buscamos a una persona creativa y estratégica que lidere la comunicación digital para integrarse a una productora audiovisual en crecimiento. Este rol será clave para construir, posicionar y mantener una presencia digital sólida, auténtica y relevante dentro de la industria.

  

Trabajarás con un equipo pequeño, cercano y altamente colaborativo, donde las ideas se escuchan y se ejecutan. Es un entorno dinámico, con mucha exposición a proyectos reales (rodajes, contenido en campo, branding creativo), ideal para alguien con iniciativa, curiosidad y ganas de involucrarse más allá de lo tradicional.

  

El ritmo es ágil y demandante, por lo que buscamos a alguien con autonomía, enfoque en resultados y capacidad de adaptación.

 **Responsabilidades**

 **Estrategia y comunicación**

  

* Diseñar e implementar la estrategia de comunicación digital de la marca.
* Definir narrativa, tono de voz y línea editorial.
* Proponer ideas para fortalecer el posicionamiento y presencia en la industria audiovisual.
* Gestionar redes sociales, sitio web y canales de comunicación.
* Planificar y ejecutar calendarios de contenido.
* Coordinar newsletters y comunicaciones clave del negocio.

 **Creación de contenido**

  

* Desarrollar contenido visual y editorial alineado a la identidad de marca.
* Documentar proyectos, rodajes y vida interna de la productora.
* Colaborar directamente con el equipo de producción para generar contenido en campo.
* Diseñar materiales gráficos, presentaciones y assets institucionales.
* Asegurar consistencia visual y narrativa en todos los entregables.

 **Análisis y optimización**

  

* Monitorear métricas de desempeño en redes y canales digitales.
* Generar insights accionables y propuestas de mejora continua.

 **Requisitos**

 **Experiencia**

  

* 2 a 3 años en gestión de redes sociales, contenido y diseño.
* Experiencia desarrollando estrategias digitales y comunicación de marca.

 **Conocimientos y habilidades**

  

* Gestión y análisis de redes sociales.
* Excelente redacción y storytelling.
* Creación de contenido digital (visual y editorial).
* Diseño intermedio (Canva, Photoshop, InDesign o similares).
* Manejo de herramientas de email marketing / newsletters.
* Uso de Google Workspace / paquetería Office.

 **Escolaridad**

  

* Licenciatura concluida en Comunicación, Marketing, Diseño o afín.

 **Competencias clave**

  

* Creatividad con enfoque estratégico.
* Organización y planeación.
* Proactividad y capacidad de ejecución.
* Atención al detalle y orientación a resultados.
* Capacidad de trabajar en múltiples proyectos simultáneamente.
* Habilidad de colaboración con equipos creativos y de producción.
* Actitud de servicio y disposición para aprender.

 **Lo que ofrece el puesto**

  

* Sueldo mensual:**$15,000 a $20,000 MXN**(según experiencia).
* Esquema híbrido (home office \+ participación en producciones).
* Flexibilidad laboral (con alta presencia remota, especialmente los viernes).
* Exposición directa a proyectos audiovisuales reales.
* Oportunidad de crecimiento y desarrollo dentro de la industria.

 **Nivel de educación deseada:**  

Superior \- titulado


**Nivel de experiencia deseada:**  

Nivel Medio


**Función departamental:**  

Marketing / RRPP / Comunicación


**Industria:**  

Marketing


**Habilidades:**  

* Social Media
* Comunicación Digital
* Redes Sociales
* Sitio Web
* Storytelling

  

  

*Esta vacante viene de la bolsa de empleo Talenteca.com:*  

*https://www.talenteca.com/anuncio?j\_id\=69efaa943400007200bf9686\&source\=indeed*"
marketing de contenidos editorial,Mexico,indeed,Especialista de Comunicación,AXA,"México, ZAC, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=bfb65a43c8c845e2,"Descripción del trabajo: **¡En AXA México, buscamos a quienes se atrevan a desafiar límites y a impulsar el progreso para un mundo mejor!**Si no le temes a los desafíos, deseas crecer y dejar huella, esta es tu oportunidad para vivir esa experiencia que transforma vidas, incluyendo la tuya.
¿Estás listo para alcanzar tu potencial y hacer la diferencia?
Únete a nuestro equipo y sé parte de una organización que respeta la diversidad, fomenta la inclusión y promueve la innovación. Aquí, cada paso que das te acerca más a la mejor versión de ti mismo. **Objetivo del puesto:**


Contribuir al diseño, coordinación y ejecución de la estrategia de Relaciones Públicas y Reputación de AXA Mexico, gestionando el monitoreo de medios, la relación con proveedores y periodistas, y la conexión editorial entre campañas de marca/producto, estudios clave (Mind Health, Future Risks) y la agenda reputacional de la compañía.

**Principales Funciones:**  

* Coordinar el servicio de monitoreo de medios (proveedor), asegurando reportes útiles, análisis de tono y alertas tempranas.
* Desarrollar y ejecutar estrategias de relaciones públicas y reputación alineadas a la estrategia de marca y de negocio (posicionamiento de voceros, narrativas clave, Q\&A, mensajes eje).
* Liderar la activación editorial de estudios como Mind Health Report y Future Risks Report (localización, mensajes clave, historias, ángulos para medios).
* Asegurar la conexión entre campañas de marca y producto y la agenda editorial (notas, tribunas, entrevistas, contenidos de contexto).
* Coordinar y apoyar en eventos clave para la marca
* Trabajar de la mano con agencias de relaciones públicas y comunicación para asegurar calidad, consistencia y alineación global/local.
* Proveer insight reputacional y recomendaciones a Marketing, Comunicaciones y alta dirección.

 **Requisitos:**  

* Formación Académica: Lic en comunicación, mercadotecnia, administración, o a fin .
* Inglés: intermedio\-avanzado
* Experiencia: 2\- 3 años de experiencia en Relaciones Públicas, Comunicación Corporativa, Reputación o afín.
* Experiencia demostrable gestionando agencias de PR y proveedores de monitoreo de medios y deseable capacidad de manejo de herramientas de IA
* Sólida capacidad editorial: redacción, storytelling corporativo, ángulos para medios, manejo de mensajes sensibles.
* Deseable experiencia previa en servicios financieros, seguros o sectores regulados.
* Conocimiento de métricas de reputación , monitoreo, redes sociales (share of voice, sentiment, interacciones,reach, etc.).

 **¿Qué te ofrecemos?**
En AXA México, te brindamos un camino para potenciar tus habilidades, crecer personal y profesionalmente, y vivir una experiencia que te desafíe a ser mejor cada día. Aquí, tu potencial es la semilla del cambio, y tu progreso, el impulso para transformar vidas. **Nuestro compromiso contigo:****Potencial:** Brindarte autonomía para que tomes decisiones y lideres cambios.**Progreso:** Escuchar y acompañarte en tu desarrollo, ampliando tus capacidades humanas y profesionales.**Cuidado:** Garantizar tu bienestar integral, tanto en lo personal como en lo laboral.
¿Listo para dar el siguiente paso?
Know You Can — porque en AXA, tu historia de éxito empieza ahora. **Acerca de AXA**¿Alguna vez te has preguntado cómo sería trabajar en un lugar donde puedes alcanzar tu máximo potencial? Somos una compañía multinacional de origen francés, líder mundial en seguros, presente en 50 países, con más de 95 millones de clientes en todo el mundo. Desde 2008, en México, hemos protegido y cuidado a cerca de 5\.9 millones de mexicanos, gracias a nuestros más de 5,000 colaboradores comprometidos.  

En AXA, celebramos la diversidad de ideas y pensamientos, porque nos hace más fuertes. Promovemos un entorno inclusivo, sustentable y lleno de espacios para aprender, colaborar y crear. Aquí, cada idea cuenta, cada voz es valorada y tu desarrollo es nuestra misión.  

Si quieres dar el siguiente paso y atreverte a hacer lo mejor de ti, AXA México te está esperando. Atrévete a vivir la experiencia AXA y construye un futuro lleno de oportunidades."
diseño editorial remoto,Mexico,indeed,Content & Social Media Strategist,Kostik,"Polanco I Sección, DIF, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=48dd64c864b73464,"**Descripción de la vacante**

Buscamos a una persona creativa y estratégica que lidere la comunicación digital para integrarse a una productora audiovisual en crecimiento. Este rol será clave para construir, posicionar y mantener una presencia digital sólida, auténtica y relevante dentro de la industria.

Trabajarás con un equipo pequeño, cercano y altamente colaborativo, donde las ideas se escuchan y se ejecutan. Es un entorno dinámico, con mucha exposición a proyectos reales (rodajes, contenido en campo, branding creativo), ideal para alguien con iniciativa, curiosidad y ganas de involucrarse más allá de lo tradicional.

El ritmo es ágil y demandante, por lo que buscamos a alguien con autonomía, enfoque en resultados y capacidad de adaptación.

**Responsabilidades**

**Estrategia y comunicación**

* Diseñar e implementar la estrategia de comunicación digital de la marca.
* Definir narrativa, tono de voz y línea editorial.
* Proponer ideas para fortalecer el posicionamiento y presencia en la industria audiovisual.
* Gestionar redes sociales, sitio web y canales de comunicación.
* Planificar y ejecutar calendarios de contenido.
* Coordinar newsletters y comunicaciones clave del negocio.

**Creación de contenido**

* Desarrollar contenido visual y editorial alineado a la identidad de marca.
* Documentar proyectos, rodajes y vida interna de la productora.
* Colaborar directamente con el equipo de producción para generar contenido en campo.
* Diseñar materiales gráficos, presentaciones y assets institucionales.
* Asegurar consistencia visual y narrativa en todos los entregables.

**Análisis y optimización**

* Monitorear métricas de desempeño en redes y canales digitales.
* Generar insights accionables y propuestas de mejora continua.

**Requisitos**

**Experiencia**

* 2 a 3 años en gestión de redes sociales, contenido y diseño.
* Experiencia desarrollando estrategias digitales y comunicación de marca.

**Conocimientos y habilidades**

* Gestión y análisis de redes sociales.
* Excelente redacción y storytelling.
* Creación de contenido digital (visual y editorial).
* Diseño intermedio (Canva, Photoshop, InDesign o similares).
* Manejo de herramientas de email marketing / newsletters.
* Uso de Google Workspace / paquetería Office.

**Escolaridad**

* Licenciatura concluida en Comunicación, Marketing, Diseño o afín.

**Competencias clave**

* Creatividad con enfoque estratégico.
* Organización y planeación.
* Proactividad y capacidad de ejecución.
* Atención al detalle y orientación a resultados.
* Capacidad de trabajar en múltiples proyectos simultáneamente.
* Habilidad de colaboración con equipos creativos y de producción.
* Actitud de servicio y disposición para aprender.

**Lo que ofrece el puesto**

* Sueldo mensual: **$15,000 a $20,000 MXN** (según experiencia).
* Esquema híbrido (home office \+ participación en producciones).
* Flexibilidad laboral (con alta presencia remota, especialmente los viernes).
* Exposición directa a proyectos audiovisuales reales.
* Ambiente creativo, cercano y colaborativo.
* Oportunidad de crecimiento y desarrollo dentro de la industria.

Tipo de puesto: Tiempo completo

Sueldo: $15,000\.00 \- $20,000\.00 al mes

Pregunta(s) de postulación:

* ¿Has desarrollado estrategias de comunicación digital o solo ejecución?
* ¿Tienes experiencia generando contenido en campo (eventos, rodajes, etc.)?

Lugar de trabajo: remoto híbrido en 11510, Polanco I Sección, CDMX"
coordinadora de contenidos creativo,Mexico,indeed,Encargado de Marketing Digital y Contenido (Híbrido),PROCUPROS S.A de C.V,"CDP, CHH, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=482f8d8ada97966c,"**Coordinador de Marketing Digital (Híbrido) Chihuahua, Chih. \| Sector Salud/Clínica**

¿Eres creativo, te apasiona la tecnología y te gusta conectar con las personas? Buscamos un talento multifuncional que quiera crecer con nuestra clínica, liderando nuestra imagen digital y participando activamente en la presentación de nuestros servicios.

**Tus Retos (Objetivos)**

* **Contenido Digital:** Crear y diseñar contenido visual (foto/video/diseño) para Redes Sociales que genere confianza y comunidad.
* **Posicionamiento (SEO/SEM):** Gestionar campañas en Google Ads y Meta Ads para atraer nuevos pacientes y optimizar nuestra presencia en Google Maps.
* **Eventos:** Ser el apoyo clave en la logística y atención en eventos presenciales de presentación de servicios.
* **Growth:** Ejecutar estrategias para alcanzar las metas de captación de pacientes.

**Perfil Buscado**

* **Formación:** Lic. en Mercadotecnia, Comunicación, Diseño Gráfico o afines (puede ser recién egresado con portafolio).
* **Habilidades Técnicas:** Manejo de herramientas de diseño (Canva/Adobe), edición de video para Reels/TikTok y conocimientos básicos de pauta digital.
* **Actitud:** Extrovertido(a), con facilidad de palabra para eventos y excelente redacción.
* **Ubicación:** Residir en Chihuahua, Chih. (Indispensable para esquema híbrido y eventos).

**¿Qué ofrecemos?**

* **Sueldo Base:** $10,000 MXN netos mensuales.
* **Bonos por Metas:** Esquema de bonos por alcance de KPIs de hasta **$3,000 MXN adicionales** ($13,000 total).
* **Prestaciones de Ley:** IMSS, Infonavit, Aguinaldo, Vacaciones y Prima Vacacional desde el primer día.
* **Esquema Híbrido:** Flexibilidad para combinar trabajo presencial en clínica y trabajo remoto.
* **Crecimiento:** Oportunidad de desarrollo en una clínica líder en su sector.

Tipo de puesto: Tiempo completo

Sueldo: $10,000\.00 \- $13,000\.00 al mes

Escolaridad:

* Licenciatura terminada (Obligatorio)

Experiencia:

* Mercadotecnia de redes sociales: 2 años (Obligatorio)
* CRM software: 1 año (Deseable)
* Eventos: 1 año (Deseable)

Lugar de trabajo: remoto híbrido en 31135, CDP, Chih."
coordinadora de contenidos creativo,Mexico,indeed,Asistente Coordinaciones Comunicación y Eventos,Colegio Ciudad,"Miguel Hidalgo, DIF, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=d503c430c4d61af5,"**Colegio Ciudad busca Asistente Coordinaciones Comunicación y Eventos en Polanco \- Miguel Hidalgo, Ciudad de México**
-----------------------------------------------------------------------------------------------------------------------


**Coordinador(a) de Eventos y Contenido Digital**

  

Buscamos un perfil híbrido y dinámico con la capacidad de gestionar la logística operativa de un evento y, al mismo tiempo, capturar y producir el contenido visual que lo haga brillar. Si eres una persona organizada, con ojo creativo y dominio de herramientas digitales, ¡queremos conocerte!

 **Perfil Académico**

* **Formación preferente en:** Comunicación, Licenciatura en Dirección de Eventos, Gestión de Eventos, Diseño Gráfico o Mercadotecnia.

 **Responsabilidades Principales**

  

Tu misión será asegurar la excelencia en la ejecución de cada proyecto a través de:

* **Logística 360°:** Apoyo integral en la planeación, montaje, operación y cierre de eventos.
* **Gestión de Contenidos:** Diseño de materiales institucionales (invitaciones, boletines, comunicados, diplomas, etc.).
* **Producción Audiovisual:** Cobertura de actividades mediante foto y video, y edición ágil para canales internos y externos.
* **Administración y Control:** Manejo de bases de datos, control de asistencia, registros y coordinación directa con proveedores y áreas internas.

 **Beneficios:**

  

* Vales de despensa
* Fondo de ahorro
* Seguro de gastos médicos mayores
* Seguro de vida
* Bono de puntualidad y asistencia.
* Bono anual
* Quinquenio
* Decenio

 **Nivel de educación deseada:**  

Superior \- titulado


**Nivel de experiencia deseada:**  

Nivel Experto


**Función departamental:**  

Educación


**Industria:**  

Educación

  

  

*Esta vacante viene de la bolsa de empleo Talenteca.com:*  

*https://www.talenteca.com/anuncio?j\_id\=69efc8925600002f00acf424\&source\=indeed*"
marketing de contenidos editorial,Mexico,indeed,Jefe de Contenidos Digitales y Marketing,Empoderamia,"Puebla, PUE, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=88d88039adc17a18,"**Requisitos:**

* Edad: mayor de 25 años.
* Experiencia mínima de 1 año en áreas de marketing digital, contenidos o comunicación.
* Carrera concluida en Marketing, Diseño, Comunicación o afín.

**Conocimientos y habilidades:**

* Manejo de **WordPress** (indispensable).
* Experiencia en gestión de redes sociales (Meta, Instagram, TikTok, YouTube, X).
* Diseño de contenido visual (Canva, Photoshop o similares).
* Edición básica de video (CapCut, Premiere u otros).
* Manejo de **Meta Ads** (campañas, segmentación y objetivos).
* Conocimiento en creación de formularios (Meta, Google Forms, landing pages).
* Manejo de plataformas de audio como Spotify (deseable).
* Excelente redacción y ortografía.
* Creatividad, organización y enfoque a resultados.

**Actividades principales:**

* Administrar y actualizar la página web (WordPress).
* Publicar artículos, notas y contenido editorial.
* Crear contenido para redes sociales: Facebook, Instagram, YouTube, X y TikTok.
* Diseñar imágenes para publicaciones (posts, stories, banners, etc.).
* Realizar videos básicos de coberturas (grabación y edición sencilla).
* Planificar y calendarizar contenido digital.
* Subir y gestionar contenido en Spotify (audio artículos, cápsulas, etc.).
* Crear y ejecutar campañas pagadas en Meta Ads (Facebook e Instagram).
* Diseñar y administrar formularios para captación de leads.
* Monitorear métricas básicas de desempeño.
* Apoyar en la difusión de eventos, entrevistas y alianzas.

Sueldo: A partir de $8,400\.00 al mes

Lugar de trabajo: Empleo presencial"
marketing de contenidos editorial,Mexico,indeed,Coordinador de Marketing,Clinica Tecnodental,"San Marcos, AGU, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=477c3e87ffe882e7,"En nuestra empresa, con más de 40 años en el mercado, creemos en el talento que transforma ideas en resultados. Buscamos a un Coordinador de Marketing que quiera crecer, proponer y generar impacto real dentro de una organización sólida, en constante evolución.

**Objetivo del puesto:**

Planear, coordinar y supervisar las estrategias de marketing digital y tradicional de la empresa, asegurando su correcta ejecución, medición y mejora continua, alineadas a los objetivos comerciales y de crecimiento organizacional.

**Principales responsabilidades:**

* Planear, organizar y supervisar la ejecución de campañas de marketing digital y tradicional.
* Diseñar y coordinar la estrategia de contenidos para redes sociales, página web y otros canales de comunicación.
* Administrar y dar seguimiento al calendario editorial y campañas promocionales.
* Coordinar el desarrollo de materiales promocionales (digitales e impresos) en conjunto con el área de Diseño.
* Analizar métricas de desempeño y elaborar reportes estratégicos con propuestas de mejora.
* Coordinar la organización de eventos, activaciones de marca y actividades comerciales.
* Gestionar solicitudes internas relacionadas con comunicación institucional y publicidad.
* Supervisar bases de datos, inventarios de material promocional y archivos digitales del área.
* Dar seguimiento a proveedores, cotizaciones y procesos administrativos del departamento.
* Liderar investigaciones de mercado y análisis de competencia.
* Mantener comunicación constante con las diferentes áreas para asegurar la correcta implementación de estrategias.
* Apoyar en actividades adicionales del área según necesidades operativas y estratégicas.

**Perfil del puesto:**

**Escolaridad:**  
Licenciatura en Marketing, Comunicación, Publicidad, o afín.

**Experiencia:**

* Mínimo 2 a 4 años en posiciones similares (coordinación o ejecución de marketing).
* Experiencia comprobable en marketing digital, redes sociales y campañas publicitarias.
* Deseable experiencia en coordinación de equipos o proveedores.

**Conocimientos técnicos:**

* Estrategias de marketing digital y tradicional.
* Gestión de redes sociales y generación de contenido.
* Herramientas de análisis (Meta Business Suite, Google Analytics, etc.).
* Planeación de campañas y manejo de presupuestos.
* Organización de eventos y activaciones de marca.
* Manejo de herramientas de diseño básico (Canva, Adobe o similares) – deseable.

**Competencias clave:**

* Liderazgo y capacidad de coordinación.
* Planeación y organización.
* Pensamiento estratégico y analítico.
* Creatividad e innovación.
* Comunicación efectiva.
* Enfoque a resultados.
* Trabajo en equipo y manejo de múltiples proyectos.

**Ofrecemos:**

* Sueldo inicial competitivo.
* Oportunidad de crecimiento y desarrollo profesional.
* Ambiente dinámico y colaborativo.
* Participación activa en proyectos estratégicos de la empresa.

**¿Te interesa?**

Si te apasiona el marketing y quieres formar parte de un equipo con experiencia, visión y crecimiento, ¡postúlate y da el siguiente paso en tu carrera!

Sueldo: A partir de $14,000\.00 al mes

Beneficios:

* Caja de ahorro
* Descuento de empleados
* Opción a contrato indefinido
* Uniformes gratuitos
* Vales de despensa

Lugar de trabajo: Empleo presencial"
marketing de contenidos editorial,Mexico,indeed,Content Strategist Editor,Empleando Mexico,"Cancún, ROO, MX",2026-04-27,,,,https://mx.indeed.com/viewjob?jk=30f45aa7ad0ccd54,"**Empleando Mexico busca Content Strategist Editor en Cancún, Quintana Roo**
----------------------------------------------------------------------------



Vacante como Content Strategy Manager \| Posición presencial en Cancún

  

Buscamos un/a **Content Strategy Manager** (o Editor de Contenido Estratégico) con una mentalidad analítica y enfoque en negocio, capaz de diseñar, estructurar y optimizar estrategias de contenido alineadas a objetivos de marketing.

  

Esta posición no está enfocada en la ejecución diaria de piezas, sino en la **definición de qué contenido se crea, por qué, para quién y con qué objetivo**. Necesitamos a alguien que entienda cómo el contenido impacta en adquisición, conversión y posicionamiento de marca.

 **¿Qué hará esta posición?**

  

* Diseñar la **estrategia de contenido** alineada a objetivos de marketing (tráfico, leads, conversión).
* Definir líneas editoriales, tono de marca y estructura de comunicación.
* Planear y estructurar funnels de contenido (awareness, consideration, conversion).
* Analizar el rendimiento del contenido y optimizar en función de datos.
* Detectar oportunidades de contenido basadas en SEO, tendencias y comportamiento del usuario.
* Coordinar con equipos de diseño, social media, paid media y SEO.
* Supervisar la ejecución de contenido (sin ser quien lo produce directamente en la mayoría de los casos).
* Definir briefs claros para contenido (copies, video, blog, ads).
* Asegurar coherencia en todos los canales de comunicación.

 **Perfil que buscamos:**

  

* Experiencia en **estrategia de contenido** (no solo creación).
* Conocimiento de **marketing digital, SEO y funnels de conversión**.
* Capacidad analítica para interpretar métricas y tomar decisiones.
* Experiencia trabajando con equipos creativos.
* Pensamiento estructurado y orientación a resultados.
* Capacidad de traducir objetivos de negocio en contenido.
* Experiencia en campañas digitales o growth (ideal).

 **Lo que ofrecemos:**

  

* Rol estratégico dentro del equipo de marketing.
* Participación directa en decisiones de crecimiento.
* Colaboración con equipos multidisciplinarios.
* Espacio para proponer y ejecutar ideas con impacto.
* Estabilidad y desarrollo profesional.

 **Nivel de educación deseada:**  

Superior \- titulado


**Nivel de experiencia deseada:**  

Nivel Experto


**Función departamental:**  

Medicina / Salud


**Industria:**  

Marketing


**Habilidades:**  

* Estrategia y liderazgo
* Creación de contenido
* SEO

  

  

*Esta vacante viene de la bolsa de empleo Talenteca.com:*  

*https://www.talenteca.com/anuncio?j\_id\=69efa4323e00002e003842dc\&source\=indeed*"
responsable de contenidos remoto,Spain,indeed,Técnica/o de comunicación,Plataforma de Organizaciones de Infancia,"Madrid, MD, ES",2026-04-27,,,,https://es.indeed.com/viewjob?jk=dfb3b7bea6709643,"País
España
Provincia
Madrid \- Madrid
Fecha límite Inscripción
18/05/2026
Categoría
Comunicación y Marketing
Tipo de oferta
Orientada a personas con discapacidad
 **Crear alerta**

**Información de la ONG**


Plataforma de Organizaciones de Infancia
**Valoración**  

(0 valoraciones) **info**
% de respuesta: 97,59% **info**

**Objetivo**
------------


La Plataforma de Infancia convoca la plaza de Técnica/o de Comunicación a jornada completa. Dependiente de la responsable de Comunicación deberá cumplir eficazmente la misión de la Plataforma de Infancia, trabajando con el resto de personal técnico de la organización, así como de sus entidades miembro.

  

La Plataforma de Infancia es una red de más de 70 organizaciones de infancia con la misión de proteger, promover y defender los derechos de niñas, niños y adolescentes conforme a la Convención sobre los Derechos del Niño de Naciones Unidas. Su visión es alcanzar el pleno cumplimiento de los derechos de las niñas, niños y adolescentes, integrando el esfuerzo de las organizaciones de infancia y de todos los agentes sociales.

  

Funciones principales

* Colaborar a nivel técnico en el desarrollo, puesta en marcha y evaluación del plan de comunicación de la entidad en alineación con sus objetivos estratégicos.
* Desarrollo e implementación de acciones y campañas de comunicación de acuerdo con las líneas de identidad institucional de la Plataforma de Infancia.
* Crear contenido atractivo y relevante para la web y redes sociales como noticias, materiales audiovisuales, memoria anual, etc. coordinando y supervisando la gestión con proveedores externos cuando sea necesario.
* Gestionar las relaciones con medios de comunicación, redacción de notas de prensa y artículos de opinión, gestión de entrevistas, organización de eventos (presencial u online), actualización de la base de medios.
* No tendrá personal a su cargo. Se requiere capacidad para trabajar en equipo con personal técnico de otros programas en la ejecución de las tareas asignadas.
* Gestionar la parte del presupuesto de las acciones que le sean asignadas para desarrollar, así como hacer seguimiento del cumplimiento de los indicadores fijados

  

Competencias y habilidades clave

* Capacidad de trabajo en equipo, empatía y resolución de conflictos.
* Capacidad de organización, planificación, evaluación y rendición de cuentas.
* Habilidades de negociación, relaciones sociales y comunicación.
* Iniciativa, autonomía y orientación a resultados.
* Flexibilidad y adaptabilidad.

  

Condiciones laborales

* Contrato indefinido a jornada completa
* Grupo profesional 1 del Convenio Colectivo Estatal de Acción e Intervención Social
* Salario: 26\.984,44 € brutos anuales
* Horario flexible, con franja fija de 10:00 a 14:00 h de lunes a viernes
* Posibilidad de Teletrabajo 3 días a la semana (posible 100% remoto en julio y agosto)
* Ubicación: C/ Escosura, 3\. 28015 Madrid


**Perfil:**


Titulación superior en ciencias de la información, comunicación, periodismo, publicidad o audiovisuales. Se valorará haber realizado estudios de postgrado.

* Experiencia demostrable en departamentos de comunicación, agencias o medios de comunicación realizando tareas similares a las descritas durante al menos 4 años.
* Identificación con la misión y los principios de la Plataforma de Infancia.
* Excelente redacción y capacidad para traducir y adaptar mensajes complejos a diferentes soportes y audiencias.
* Experiencia en gestión de campañas de sensibilización y en trabajo con medios.
* Experiencia en gestión de redes sociales y herramientas como Metricool, Meta Bussiness Suite, Google Analytics, etc.
* Disponer de permiso de trabajo en España.
* Disponibilidad para viajar.
* Certificado negativo de antecedentes de delitos de naturaleza sexual.

  

Se valorará

* Conocimientos sobre derechos de infancia y participación infantil
* Experiencia en el trabajo y coordinación con entidades del Tercer Sector.
* Experiencia en el desarrollo de contenidos para un público infantil/juvenil.
* Manejo de herramientas de diseño (Adobe Photoshop, Illustrator, Canva, etc.).
* Conocimientos de fotografía, grabación y edición de vídeo.
* Manejo de herramientas del entorno Microsoft 365\.
* Conocimientos DIVI WordPress.
* Inglés (B2\).

  

**Competencias:**


Iniciativa y autonomía, Organización y planificación, Fiabilidad técnica y personal, Trabajo en equipo
**Nivel:**


Empleado
**Tipo de contrato:**


Jornada completa
**Duración:**


Más de 2 años
**Salario:**


Entre 24\.001 y 30\.000 € bruto/anual
**Estudios mínimos:**


Diplomado
**Experiencia mínima:**


Al menos 3 años
**Fecha de inicio:**


28/05/2026
**Nº de vacantes:**


1"
marketing de contenidos editorial,Mexico,indeed,Coordinador de Marketing Digital (Giro Inmobiliario),Señor Talento,"Morelia, MIC, MX",2026-04-26,,,,https://mx.indeed.com/viewjob?jk=916b1a546cf201be,"Buscamos un perfil estratégico y operativo que lidere la ejecución de campañas, gestione la presencia de marca y contribuya al crecimiento comercial a través de iniciativas de marketing efectivas.

**Responsabilidades principales:**

* Planear, coordinar y ejecutar campañas de marketing digital y tradicional
* Gestionar redes sociales, contenido y calendario editorial
* Coordinar con equipo de diseño el contenido.
* Analizar resultados de campañas y optimizar el rendimiento (KPIs, ROI)
* Apoyar en la generación de leads y estrategias comerciales
* Supervisar imagen de marca y consistencia en comunicación
* Implementar estrategias de posicionamiento y fidelización de clientes
* Activaciones comerciales, creación de puntos de venta.
* Creación de alianzas, convenios, etc.

**Requisitos:**

* **Licenciatura en Marketing, C**omunicación, Negocios o afín,
* **Experiencia mínima de 2 a 4 años como LÍDER DE ÁREA en marketing (NO community manager)**
* Conocimiento en marketing digital, redes sociales y campañas pagadas
* **Manejo de herramientas de análisis (Meta Ads, Google Analytics, etc.)**
* Habilidad para gestión de proyectos y trabajo en equipo
* Creatividad, enfoque en resultados y pensamiento analítico
* Contar con vehículo propio (auto o moto) para facilidad de desplazamiento entre los desarrollos.

**Horarios: Lunes a viernes de 8:00 am a 5:00 pm**

**sábados de 9:00 a 1:00 pm**

**Sueldo base $15,000 \- 18,000 netos al mes (pago quincenal)** 

**$2,200 mensuales en vales de gasolina.**

**Bono de $4,000 mensual por cumplimiento de meta de venta 70%**

**Bono adicional.**

**Comisión por unidad vendida por área de ventas.**

¡Adjunta tu CV!

Sueldo: $16,000\.00 \- $25,000\.00 al mes

Beneficios:

* Opción a contrato indefinido
* Teléfono de la empresa

Escolaridad:

* Licenciatura terminada (Obligatorio)

Experiencia:

* Líder, Jefe o Coordinador e Marketing: 2 años (Obligatorio)

Lugar de trabajo: Empleo presencial

Fecha de inicio prevista: 04/05/2026"
